id,loan_amnt,funded_amnt,int_rate,grade,sub_grade,home_ownership,verification_status,issue_d,loan_status,addr_state,dti
54734,25000,25000,11.89%,B,B4,RENT,Verified,Aug-09,Fully Paid,CA,19.48
55742,7000,7000,10.71%,B,B5,RENT,Not Verified,May-08,Fully Paid,NY,14.29
57245,1200,1200,13.11%,C,C2,OWN,Not Verified,Mar-10,Fully Paid,TX,5.47
57416,10800,10800,13.57%,C,C3,RENT,Not Verified,Nov-09,Fully Paid,CT,11.63
58915,7500,5025,10.08%,B,B3,RENT,Not Verified,Apr-08,Fully Paid,CA,8.1
59006,3000,3000,14.26%,C,C5,MORTGAGE,Not Verified,Sep-09,Fully Paid,TX,14.97
61390,4000,4000,7.88%,A,A5,MORTGAGE,Not Verified,Feb-10,Fully Paid,TX,16.98
61419,5600,5600,14.96%,D,D2,RENT,Not Verified,Feb-10,Charged Off,MD,4
62102,3200,3200,9.88%,B,B1,RENT,Not Verified,Apr-10,Fully Paid,MA,6.51
65426,4000,4000,11.14%,B,B1,MORTGAGE,Not Verified,Aug-09,Charged Off,MI,11.08
65640,5000,2650,11.34%,C,C2,MORTGAGE,Not Verified,May-08,Fully Paid,CA,17.25
66431,2525,2525,12.21%,B,B5,RENT,Not Verified,Feb-09,Fully Paid,KY,10
66749,10625,10625,13.47%,C,C4,MORTGAGE,Not Verified,Dec-08,Fully Paid,MS,22.09
66943,2800,2800,11.49%,B,B4,RENT,Not Verified,Aug-10,Fully Paid,CA,4
66964,7500,7500,13.24%,D,D3,MORTGAGE,Not Verified,Jun-08,Fully Paid,KS,9.16
67503,10000,10000,8.59%,A,A4,MORTGAGE,Not Verified,Oct-09,Fully Paid,MI,15.49
68163,3000,3000,7.14%,A,A3,MORTGAGE,Not Verified,Feb-10,Fully Paid,GA,6.5
68381,6625,6625,8.63%,A,A5,RENT,Not Verified,Mar-08,Fully Paid,CA,9.73
68817,10000,10000,11.03%,C,C1,MORTGAGE,Not Verified,Mar-08,Fully Paid,NC,13.04
68926,2300,2300,13.17%,D,D2,RENT,Verified,Aug-08,Fully Paid,NJ,2.26
69001,15000,15000,8.94%,A,A5,MORTGAGE,Not Verified,Sep-09,Fully Paid,NY,7.07
69124,18000,18000,10.39%,B,B4,MORTGAGE,Not Verified,Mar-08,Fully Paid,WA,3.8
69168,5000,5000,15.13%,E,E4,RENT,Verified,Apr-08,Fully Paid,KY,2.74
69251,6000,6000,8.00%,A,A3,MORTGAGE,Not Verified,May-08,Fully Paid,OH,16.08
69550,11200,11200,15.33%,D,D3,RENT,Not Verified,May-10,Fully Paid,AZ,17.19
69828,15000,15000,8.63%,A,A5,OWN,Not Verified,Mar-08,Fully Paid,MI,2.59
69924,10000,10000,13.55%,D,D4,RENT,Not Verified,Mar-08,Fully Paid,CA,7.94
69990,15500,15500,7.88%,A,A5,RENT,Not Verified,Feb-10,Fully Paid,CT,7.05
70348,9600,9600,12.29%,C,C5,RENT,Not Verified,Mar-08,Fully Paid,IL,8.8
76597,5000,5000,9.01%,B,B2,MORTGAGE,Not Verified,Jul-07,Fully Paid,NY,10
84918,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Sep-07,Fully Paid,MA,0.28
87023,7500,7500,13.75%,E,E2,OWN,Not Verified,Jun-07,Fully Paid,MA,14.29
88854,5000,5000,7.43%,A,A2,RENT,Not Verified,Aug-07,Fully Paid,NY,0.28
90376,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Jul-07,Fully Paid,MD,3.72
90395,5000,5000,8.07%,A,A4,MORTGAGE,Not Verified,Jul-07,Fully Paid,MA,2.3
90665,8500,8500,10.28%,C,C1,RENT,Not Verified,Jul-07,Fully Paid,NC,6.4
90966,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Jul-07,Fully Paid,GA,0
92187,2500,2500,8.07%,A,A4,MORTGAGE,Not Verified,Jul-07,Fully Paid,CO,11.33
92402,5000,5000,8.70%,B,B1,MORTGAGE,Not Verified,Jul-07,Fully Paid,CO,15.55
92440,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Jul-07,Fully Paid,MA,3.83
92507,5000,5000,7.43%,A,A2,OWN,Not Verified,Jul-07,Fully Paid,WI,0.31
92533,5000,5000,11.22%,C,C4,OWN,Not Verified,Jul-07,Fully Paid,WI,1.21
92552,5000,5000,9.96%,B,B5,MORTGAGE,Not Verified,Jul-07,Fully Paid,FL,8.03
92666,5000,5000,9.33%,B,B3,MORTGAGE,Not Verified,Jul-07,Fully Paid,WI,11.93
92676,5000,5000,8.07%,A,A4,MORTGAGE,Not Verified,Jul-07,Fully Paid,WI,5.55
93061,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Jul-07,Fully Paid,MA,2.29
93277,3000,3000,8.70%,B,B1,MORTGAGE,Not Verified,Jul-07,Fully Paid,MA,14.54
94838,3000,3000,10.28%,C,C1,MORTGAGE,Not Verified,Jul-07,Fully Paid,NY,0
96350,5000,5000,11.22%,C,C4,OWN,Not Verified,Jul-07,Fully Paid,GA,18.64
96844,5300,5300,8.38%,A,A5,MORTGAGE,Not Verified,Jul-07,Fully Paid,IN,14.37
98276,5400,5400,7.75%,A,A3,RENT,Not Verified,Jul-07,Fully Paid,GA,3
98339,5100,5100,8.38%,A,A5,RENT,Not Verified,Jul-07,Fully Paid,IN,14.78
98982,5000,5000,9.01%,B,B2,RENT,Not Verified,Jul-07,Fully Paid,VA,9.96
99009,5750,5750,7.43%,A,A2,MORTGAGE,Not Verified,Jul-07,Fully Paid,MA,0.27
100214,5000,5000,7.43%,A,A2,OWN,Not Verified,Aug-07,Fully Paid,WI,1.12
101579,10000,10000,10.28%,C,C1,RENT,Not Verified,Jul-07,Fully Paid,CO,10.7
102376,25000,25000,10.59%,C,C2,RENT,Not Verified,Jul-07,Fully Paid,NY,4.05
106079,3500,3500,9.96%,B,B5,RENT,Not Verified,Jul-07,Fully Paid,FL,16.44
106360,2700,2700,15.96%,F,F4,RENT,Not Verified,Jul-07,Fully Paid,MA,12.57
107136,12250,12250,10.59%,C,C2,RENT,Not Verified,Jul-07,Fully Paid,FL,17.12
109355,1200,1200,11.54%,C,C5,RENT,Not Verified,Jul-07,Fully Paid,ME,2.04
111227,20000,20000,13.43%,E,E1,MORTGAGE,Not Verified,Aug-07,Charged Off,FL,10.15
111307,12000,12000,12.49%,D,D3,OWN,Not Verified,Aug-07,Fully Paid,FL,15
111917,6400,6400,9.64%,B,B4,RENT,Not Verified,Aug-07,Fully Paid,WI,7.72
112216,12000,12000,11.86%,D,D1,RENT,Not Verified,Aug-07,Fully Paid,NY,7.14
112245,5000,5000,7.43%,A,A2,RENT,Not Verified,Jul-07,Fully Paid,WI,2.55
112323,3500,3500,10.28%,C,C1,RENT,Not Verified,Jul-07,Fully Paid,MA,1.5
112496,3000,3000,11.86%,D,D1,MORTGAGE,Not Verified,Aug-07,Fully Paid,IN,7.47
113156,3500,3500,8.07%,A,A4,RENT,Not Verified,Aug-07,Fully Paid,NJ,8.52
113179,1000,1000,10.59%,C,C2,MORTGAGE,Not Verified,Aug-07,Charged Off,VA,14.47
113194,3500,3500,9.96%,B,B5,RENT,Not Verified,Aug-07,Fully Paid,NJ,11.06
116040,5000,5000,9.64%,B,B4,MORTGAGE,Not Verified,Aug-07,Fully Paid,CT,8.55
116582,10000,10000,13.75%,E,E2,RENT,Not Verified,Aug-07,Fully Paid,NY,17.38
117056,5000,5000,7.75%,A,A3,MORTGAGE,Not Verified,Aug-07,Fully Paid,WI,6.48
117249,5000,5000,7.43%,A,A2,MORTGAGE,Not Verified,Aug-07,Fully Paid,AZ,4.56
117794,7500,7500,8.07%,A,A4,MORTGAGE,Not Verified,Aug-07,Fully Paid,MA,2.72
117863,8000,8000,9.96%,B,B5,RENT,Not Verified,Aug-07,Fully Paid,MD,15.13
118523,6500,6500,15.01%,F,F1,MORTGAGE,Not Verified,Aug-07,Charged Off,GA,6.45
118533,2500,2500,9.64%,B,B4,MORTGAGE,Not Verified,Aug-07,Charged Off,NE,20
118823,2500,2500,12.80%,D,D4,MORTGAGE,Not Verified,Aug-07,Charged Off,NE,20
119043,15450,15450,11.22%,C,C4,MORTGAGE,Not Verified,Aug-07,Charged Off,VA,13.5
120215,4000,4000,7.43%,A,A2,RENT,Not Verified,Aug-07,Fully Paid,NJ,3.45
120374,2000,2000,8.70%,B,B1,RENT,Not Verified,Aug-07,Fully Paid,NY,6.07
120525,4000,4000,10.91%,C,C3,RENT,Not Verified,Aug-07,Fully Paid,VA,18
121426,3000,3000,7.75%,A,A3,OWN,Not Verified,Aug-07,Fully Paid,WA,2.14
121530,3000,3000,7.75%,A,A3,OWN,Not Verified,Aug-07,Fully Paid,WA,5.35
121535,2800,2800,8.70%,B,B1,NONE,Not Verified,Aug-07,Fully Paid,MA,15
121568,4000,4000,9.64%,B,B4,NONE,Not Verified,Aug-07,Fully Paid,CA,15
121824,3000,3000,8.70%,B,B1,MORTGAGE,Not Verified,Aug-07,Fully Paid,FL,12.23
122070,5400,5400,12.17%,D,D2,MORTGAGE,Not Verified,Aug-07,Fully Paid,MA,7.1
122404,12750,12750,15.33%,F,F2,RENT,Not Verified,Aug-07,Fully Paid,NY,19.52
122637,4000,4000,7.75%,A,A3,OWN,Not Verified,Aug-07,Fully Paid,CT,3.46
122718,18500,18500,15.33%,F,F2,RENT,Not Verified,Aug-07,Fully Paid,NY,5.24
123228,20000,20000,9.64%,B,B4,RENT,Not Verified,Sep-07,Charged Off,NY,2.86
123230,3175,3175,11.54%,C,C5,OWN,Not Verified,Aug-07,Charged Off,MA,12.24
124436,4800,4800,11.22%,C,C4,RENT,Not Verified,Sep-07,Fully Paid,NE,12.36
125671,12125,12125,8.70%,B,B1,MORTGAGE,Not Verified,Sep-07,Fully Paid,NY,4.8
125897,6625,6625,11.22%,C,C4,MORTGAGE,Not Verified,Sep-07,Fully Paid,VA,18
126213,9500,9500,8.07%,A,A4,OWN,Not Verified,Sep-07,Fully Paid,MA,3.49
126215,5000,5000,7.75%,A,A3,RENT,Not Verified,Sep-07,Fully Paid,OH,5
126287,10000,10000,11.54%,C,C5,MORTGAGE,Not Verified,Sep-07,Fully Paid,MA,20
126392,10000,10000,8.07%,A,A4,MORTGAGE,Not Verified,Sep-07,Fully Paid,WI,0.72
126776,9500,9500,8.07%,A,A4,OWN,Not Verified,Oct-07,Fully Paid,MA,2.44
126788,7500,7500,9.33%,B,B3,MORTGAGE,Not Verified,Sep-07,Fully Paid,FL,9.66
127213,2000,2000,7.12%,A,A1,MORTGAGE,Not Verified,Sep-07,Fully Paid,MA,0.43
127353,2850,2850,11.86%,D,D1,RENT,Not Verified,Sep-07,Fully Paid,NY,2.8
127472,2125,2125,15.01%,F,F1,MORTGAGE,Not Verified,Sep-07,Charged Off,NC,16.89
127504,10000,10000,8.07%,A,A4,MORTGAGE,Not Verified,Nov-07,Fully Paid,MA,5.84
127531,17000,17000,9.33%,B,B3,RENT,Not Verified,Sep-07,Fully Paid,NY,9.55
127719,10000,10000,8.07%,A,A4,MORTGAGE,Not Verified,Nov-07,Fully Paid,MA,3.11
127830,8000,8000,12.17%,D,D2,MORTGAGE,Not Verified,Sep-07,Charged Off,FL,10.2
128635,6500,6500,10.28%,C,C1,OWN,Not Verified,Sep-07,Fully Paid,NY,5.87
128881,7000,7000,12.49%,D,D3,RENT,Not Verified,Sep-07,Fully Paid,NM,5.01
129745,10000,10000,10.28%,C,C1,RENT,Not Verified,Sep-07,Fully Paid,NC,14.4
130512,7250,7250,10.59%,C,C2,MORTGAGE,Not Verified,Oct-07,Fully Paid,MD,7.22
130735,10250,10250,14.38%,E,E4,RENT,Not Verified,Oct-07,Fully Paid,FL,17.83
130907,3775,3775,7.43%,A,A2,MORTGAGE,Not Verified,Oct-07,Fully Paid,MO,0
130986,2100,2100,7.12%,A,A1,RENT,Not Verified,Oct-07,Fully Paid,MA,0.22
131223,20000,20000,15.65%,F,F3,RENT,Not Verified,Oct-07,Fully Paid,MD,1.53
131387,6000,6000,10.59%,C,C2,RENT,Not Verified,Oct-07,Fully Paid,NY,8.15
131618,9000,9000,11.22%,C,C4,RENT,Not Verified,Oct-07,Fully Paid,AZ,22.15
131649,6625,6625,11.22%,C,C4,RENT,Not Verified,Oct-07,Fully Paid,WA,18.38
131782,7725,7725,13.75%,E,E2,RENT,Not Verified,Oct-07,Charged Off,NY,9.8
132062,7200,7200,14.67%,E,E5,RENT,Not Verified,Oct-07,Fully Paid,MA,20.76
132172,6000,6000,10.28%,C,C1,MORTGAGE,Not Verified,Oct-07,Fully Paid,MO,10.6
132892,9000,9000,12.49%,D,D3,MORTGAGE,Not Verified,Oct-07,Charged Off,MD,5.08
132946,5275,5275,7.43%,A,A2,MORTGAGE,Not Verified,Oct-07,Fully Paid,NC,2.64
133301,4650,4650,10.28%,C,C1,MORTGAGE,Not Verified,Oct-07,Charged Off,MO,3.26
133685,6625,6625,11.22%,C,C4,RENT,Not Verified,Oct-07,Fully Paid,VA,13.77
134436,2525,2525,13.12%,D,D5,MORTGAGE,Not Verified,Oct-07,Fully Paid,UT,20.67
135201,10000,10000,11.22%,C,C4,MORTGAGE,Not Verified,Oct-07,Fully Paid,IN,20.4
135594,5275,5275,8.07%,A,A4,MORTGAGE,Not Verified,Oct-07,Fully Paid,NC,12
136226,4300,4300,10.91%,C,C3,RENT,Not Verified,Oct-07,Fully Paid,MA,9.87
136316,3025,3025,10.28%,C,C1,RENT,Not Verified,Oct-07,Fully Paid,LA,9.13
136491,5000,5000,12.17%,D,D2,RENT,Not Verified,Oct-07,Charged Off,MD,0
136634,8500,8500,12.49%,D,D3,MORTGAGE,Not Verified,Oct-07,Fully Paid,MD,6.38
137042,25000,5650,14.38%,E,E4,MORTGAGE,Not Verified,Oct-07,Fully Paid,NY,2.4
137106,4275,4275,10.28%,C,C1,OWN,Not Verified,Oct-07,Fully Paid,SC,24.81
137271,2100,2100,12.49%,D,D3,RENT,Not Verified,Oct-07,Charged Off,NC,14.4
137965,8000,8000,8.38%,A,A5,RENT,Not Verified,Oct-07,Fully Paid,NY,9.71
138557,8275,8275,9.01%,B,B2,MORTGAGE,Not Verified,Oct-07,Fully Paid,SC,12.16
138568,3275,3275,9.33%,B,B3,MORTGAGE,Not Verified,Oct-07,Fully Paid,NC,3.83
139057,5500,5500,8.07%,A,A4,RENT,Not Verified,Oct-07,Fully Paid,SC,6.29
139657,1200,1200,9.96%,B,B5,OWN,Not Verified,Oct-07,Fully Paid,KS,1.13
139790,3000,3000,12.49%,D,D3,RENT,Not Verified,Oct-07,Charged Off,NJ,12.77
139968,10000,10000,12.80%,D,D4,RENT,Not Verified,Oct-07,Fully Paid,AL,18.92
139980,12000,5000,10.91%,C,C3,MORTGAGE,Not Verified,Oct-07,Charged Off,GA,11.78
140036,4000,1000,9.96%,B,B5,RENT,Not Verified,Oct-07,Charged Off,NJ,5.83
140452,3000,3000,9.96%,B,B5,OWN,Not Verified,Oct-07,Fully Paid,NJ,15.4
140561,2225,2225,10.59%,C,C2,RENT,Not Verified,Oct-07,Charged Off,CA,8.14
140687,2825,2825,9.64%,B,B4,MORTGAGE,Not Verified,Oct-07,Fully Paid,TN,18
140900,8275,8275,8.07%,A,A4,MORTGAGE,Not Verified,Oct-07,Fully Paid,NC,9.89
141041,5275,5275,9.64%,B,B4,MORTGAGE,Not Verified,Oct-07,Fully Paid,NC,17.57
141676,6225,6225,11.54%,C,C5,RENT,Not Verified,Oct-07,Fully Paid,MA,17.76
141774,20000,4800,13.12%,D,D5,MORTGAGE,Not Verified,Oct-07,Charged Off,NJ,16.87
142281,7000,7000,10.28%,C,C1,RENT,Not Verified,Oct-07,Fully Paid,WA,10.05
142608,5000,5000,10.59%,C,C2,RENT,Not Verified,Oct-07,Fully Paid,ME,24.4
142618,4800,4800,11.54%,C,C5,RENT,Not Verified,Oct-07,Fully Paid,AL,18.19
142734,25000,25000,9.01%,B,B2,MORTGAGE,Not Verified,Nov-07,Fully Paid,WA,8.93
142790,4925,4925,9.96%,B,B5,MORTGAGE,Not Verified,Oct-07,Fully Paid,VA,4.84
143102,3000,3000,10.28%,C,C1,RENT,Not Verified,Oct-07,Fully Paid,LA,19.93
143128,8000,8000,11.54%,C,C5,RENT,Not Verified,Nov-07,Fully Paid,NH,8.04
143566,12375,12375,10.91%,C,C3,MORTGAGE,Not Verified,Nov-07,Fully Paid,VA,16.39
144579,9850,9850,7.75%,A,A3,RENT,Not Verified,Nov-07,Fully Paid,NY,9.09
144635,25000,25000,12.80%,D,D4,MORTGAGE,Not Verified,Nov-07,Charged Off,FL,24.85
146564,8275,8275,10.59%,C,C2,MORTGAGE,Not Verified,Nov-07,Charged Off,NC,24.01
146641,8000,8000,11.86%,D,D1,RENT,Not Verified,Nov-07,Fully Paid,UT,11.31
146671,25000,25000,9.64%,B,B4,MORTGAGE,Not Verified,Nov-07,Fully Paid,SD,0.8
146844,15450,15450,10.91%,C,C3,RENT,Not Verified,Nov-07,Charged Off,WA,16.97
148473,10000,10000,9.01%,B,B2,MORTGAGE,Not Verified,Nov-07,Charged Off,NY,2.97
149575,10000,10000,8.38%,A,A5,RENT,Not Verified,Nov-07,Fully Paid,SC,4.2
149754,4000,4000,10.91%,C,C3,RENT,Not Verified,Nov-07,Fully Paid,FL,8.92
150940,7000,7000,10.59%,C,C2,MORTGAGE,Not Verified,Nov-07,Fully Paid,AZ,8.5
151587,19950,19950,9.96%,B,B5,MORTGAGE,Not Verified,Nov-07,Fully Paid,MA,13.07
151607,1500,1500,14.70%,E,E5,RENT,Not Verified,Nov-07,Fully Paid,MD,3.84
151621,18000,18000,9.01%,B,B2,MORTGAGE,Not Verified,Nov-07,Fully Paid,GA,15.37
152291,4800,4800,7.75%,A,A3,RENT,Not Verified,Nov-07,Fully Paid,TX,6.34
152663,3000,3000,9.96%,B,B5,RENT,Not Verified,Nov-07,Fully Paid,VA,11.98
153022,3000,3000,7.12%,A,A1,MORTGAGE,Not Verified,Nov-07,Fully Paid,WA,0
153054,5875,5875,10.91%,C,C3,MORTGAGE,Not Verified,Nov-07,Fully Paid,VA,19.82
153235,18000,18000,11.54%,C,C5,RENT,Not Verified,Nov-07,Fully Paid,FL,10.8
153434,12000,12000,10.91%,C,C3,RENT,Not Verified,Nov-07,Fully Paid,MA,15.74
154141,5000,5000,7.75%,A,A3,MORTGAGE,Not Verified,Nov-07,Fully Paid,FL,9.55
154154,4800,4800,10.28%,C,C1,RENT,Not Verified,Nov-07,Fully Paid,VA,7.51
154286,15000,15000,10.28%,C,C1,RENT,Not Verified,Nov-07,Fully Paid,WA,11.95
154305,3600,3600,10.28%,C,C1,RENT,Not Verified,Nov-07,Fully Paid,MA,7.88
154776,6800,6800,11.22%,C,C4,RENT,Not Verified,Nov-07,Charged Off,NJ,18.68
155780,4800,4800,7.75%,A,A3,RENT,Not Verified,Nov-07,Fully Paid,LA,10.26
156021,6400,6400,11.54%,C,C5,RENT,Not Verified,Nov-07,Fully Paid,NY,1.83
156417,6000,6000,7.43%,A,A2,MORTGAGE,Not Verified,Nov-07,Fully Paid,DE,6.11
156868,24750,24750,9.33%,B,B3,RENT,Not Verified,Nov-07,Fully Paid,NY,0.82
157169,25000,25000,9.01%,B,B2,MORTGAGE,Not Verified,Nov-07,Charged Off,FL,3.83
157768,4000,4000,8.70%,B,B1,RENT,Not Verified,Dec-07,Fully Paid,TX,18.71
158289,9000,9000,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,NY,17.17
158706,12375,12375,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,VA,9.23
159468,12000,12000,11.86%,D,D1,MORTGAGE,Not Verified,Dec-07,Fully Paid,NJ,20.48
159665,5750,5750,7.43%,A,A2,RENT,Not Verified,Dec-07,Fully Paid,MA,1.2
159713,900,900,10.28%,C,C1,RENT,Not Verified,Nov-07,Charged Off,FL,16.7
161187,12950,12950,9.96%,B,B5,MORTGAGE,Not Verified,Dec-07,Fully Paid,VA,6.48
163627,4000,4000,10.59%,C,C2,RENT,Not Verified,Dec-07,Fully Paid,WA,17.81
163758,3000,3000,11.22%,C,C4,MORTGAGE,Not Verified,Dec-07,Fully Paid,GA,22.79
164346,500,500,8.07%,A,A4,RENT,Not Verified,Nov-07,Fully Paid,NY,4.27
164741,16000,16000,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,NY,10.7
164792,17600,17600,8.70%,B,B1,RENT,Not Verified,Dec-07,Fully Paid,VA,0.12
166437,9600,9600,11.22%,C,C4,RENT,Not Verified,Dec-07,Fully Paid,MA,14.6
166534,16000,16000,11.54%,C,C5,RENT,Not Verified,Dec-07,Charged Off,FL,12.16
166546,3000,3000,7.43%,A,A2,RENT,Not Verified,Nov-07,Fully Paid,MD,11.18
166683,6500,6500,7.75%,A,A3,OWN,Not Verified,Dec-07,Fully Paid,NC,13.53
166747,5000,5000,11.86%,D,D1,OWN,Not Verified,Dec-07,Charged Off,FL,7.02
167189,4900,4900,10.28%,C,C1,RENT,Not Verified,Dec-07,Charged Off,NY,15.3
167205,15000,15000,10.28%,C,C1,RENT,Not Verified,Dec-07,Fully Paid,NJ,11.88
167584,10000,10000,9.96%,B,B5,RENT,Not Verified,Dec-07,Charged Off,FL,10.28
167645,10000,6000,8.70%,B,B1,RENT,Not Verified,Dec-07,Fully Paid,WY,19.45
167846,11300,11300,12.17%,D,D2,RENT,Not Verified,Dec-07,Fully Paid,IN,23.96
168100,18000,18000,12.17%,D,D2,MORTGAGE,Not Verified,Dec-07,Fully Paid,CO,18.3
168190,3975,3975,12.17%,D,D2,RENT,Not Verified,Dec-07,Charged Off,NY,23.2
168222,25000,25000,11.86%,D,D1,RENT,Not Verified,Dec-07,Fully Paid,AZ,9.74
169044,18500,18500,10.91%,C,C3,MORTGAGE,Not Verified,Dec-07,Fully Paid,SC,17.56
169254,17000,17000,8.70%,B,B1,MORTGAGE,Not Verified,Dec-07,Fully Paid,GA,11.51
169354,5400,5400,9.33%,B,B3,OWN,Not Verified,Dec-07,Fully Paid,AL,16.09
169453,18500,18500,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,WA,4.67
169525,9000,9000,9.96%,B,B5,RENT,Not Verified,Dec-07,Fully Paid,NY,3.38
169793,16000,16000,11.86%,D,D1,OWN,Not Verified,Dec-07,Charged Off,GA,15.1
170488,5000,5000,8.70%,B,B1,MORTGAGE,Not Verified,Dec-07,Fully Paid,FL,6.15
170528,12000,12000,10.59%,C,C2,MORTGAGE,Not Verified,Dec-07,Fully Paid,MO,19.84
170929,9000,9000,12.49%,D,D3,MORTGAGE,Not Verified,Dec-07,Fully Paid,NY,4.98
171220,20000,20000,11.54%,C,C5,MORTGAGE,Not Verified,Dec-07,Charged Off,NC,17.81
171298,7000,7000,7.43%,A,A2,RENT,Not Verified,Dec-07,Fully Paid,KY,1.65
172644,12000,12000,10.28%,C,C1,MORTGAGE,Not Verified,Dec-07,Fully Paid,UT,5.58
172802,5000,5000,8.70%,B,B1,RENT,Not Verified,Dec-07,Fully Paid,NJ,0.38
173029,9600,9600,12.17%,D,D2,RENT,Not Verified,Dec-07,Charged Off,CO,19.28
173981,3200,3200,10.28%,C,C1,RENT,Not Verified,Dec-07,Fully Paid,WA,9.7
174377,4800,4800,9.64%,B,B4,MORTGAGE,Not Verified,Dec-07,Fully Paid,AL,12.94
175056,20000,20000,10.59%,C,C2,MORTGAGE,Not Verified,Dec-07,Fully Paid,AL,11.96
175147,2400,2400,13.75%,E,E2,RENT,Not Verified,Dec-07,Fully Paid,NJ,24.08
175193,7500,7500,9.01%,B,B2,RENT,Not Verified,Dec-07,Fully Paid,FL,10.37
175582,10000,10000,12.80%,D,D4,RENT,Not Verified,Dec-07,Fully Paid,WI,7.51
176062,2800,2800,12.17%,D,D2,MORTGAGE,Not Verified,Dec-07,Charged Off,NY,19.19
176206,3000,3000,9.33%,B,B3,RENT,Not Verified,Dec-07,Fully Paid,ME,2.69
176610,2975,2975,9.96%,B,B5,RENT,Not Verified,Dec-07,Fully Paid,IN,14.16
176942,16500,16500,12.80%,D,D4,RENT,Not Verified,Dec-07,Fully Paid,NY,19.22
176995,25000,25000,14.38%,E,E4,MORTGAGE,Not Verified,Dec-07,Charged Off,CO,20.79
177075,15000,15000,8.38%,A,A5,RENT,Not Verified,Dec-07,Fully Paid,NC,7.96
177259,17950,17950,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,WA,10.34
177913,15000,7000,9.64%,B,B4,MORTGAGE,Not Verified,Dec-07,Fully Paid,NY,21.23
178157,14400,14400,12.80%,D,D4,RENT,Not Verified,Dec-07,Charged Off,NE,8.47
178236,12000,12000,12.17%,D,D2,RENT,Not Verified,Dec-07,Fully Paid,FL,14.5
178239,7000,7000,11.86%,D,D1,RENT,Not Verified,Dec-07,Fully Paid,NJ,17.02
178977,25000,25000,9.64%,B,B4,MORTGAGE,Not Verified,Jan-08,Charged Off,NJ,17.06
179020,9325,9325,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,VA,18.96
179897,25000,25000,12.49%,D,D3,MORTGAGE,Not Verified,Dec-07,Fully Paid,NY,7.99
180005,4000,4000,7.75%,A,A3,RENT,Not Verified,Dec-07,Fully Paid,NC,6
180535,3500,3500,10.28%,C,C1,MORTGAGE,Not Verified,Dec-07,Fully Paid,FL,17.65
180614,24625,24625,14.07%,E,E3,MORTGAGE,Not Verified,Dec-07,Fully Paid,NY,12.81
180675,25000,25000,10.91%,C,C3,MORTGAGE,Not Verified,Dec-07,Charged Off,FL,22.13
180712,22550,12000,15.96%,F,F4,MORTGAGE,Not Verified,Dec-07,Fully Paid,IN,20.82
181036,18000,18000,9.33%,B,B3,RENT,Not Verified,Dec-07,Fully Paid,NY,9.96
181590,12000,12000,13.12%,D,D5,RENT,Not Verified,Dec-07,Fully Paid,NY,18.25
181701,5000,5000,12.80%,D,D4,RENT,Not Verified,Dec-07,Fully Paid,NY,18.65
182089,21000,21000,9.96%,B,B5,MORTGAGE,Not Verified,Dec-07,Fully Paid,GA,3.77
